""	"H1975_DMSO_1"	"H1975_DMSO_2"	"H1975_DMSO_3"	"H1975_osi_DTP_1"	"H1975_osi_DTP_2"	"H1975_osi_DTP_3"
"A1BG"	16.5952254630559	10.280224831225	14.541589008872	20.1702564245737	17.3383875478479	20.5815649872241
"A1CF"	0.124491683452355	0.290612042837966	0.0196405395125374	0.0194715735849295	0.182545745848468	0.227986012006193
"A2M"	0.00774512371959076	0.0172336426478116	0	2.81663600313713	0.914552247815624	0.529793519056357
"A2ML1"	0.210766286119211	0.899657655855556	0.413125988632259	0.24656050917847	0.262906778548965	0.446270638598848
"A3GALT2"	0.0210385396999733	0.0234480815032841	0.0698014214398148	0.0457555270603068	0.0617992976531399	0.0735943471070734
"A4GALT"	11.8731937322826	8.02017469903113	9.54912114162258	15.1830134501137	13.3456206095104	15.2926722344626
"A4GNT"	0.126423221662466	0.0234596399207139	0.0931412699068201	0.228899850579019	0.0825069579676184	0.048975406693265
"AAAS"	50.7215117781463	45.3862192882859	51.1570365754934	31.7626949598929	30.1140430223388	32.9071901125407
"AACS"	40.0642150469945	35.7392709164596	35.085322175447	45.578160906411	45.0697912366729	38.4010915699326
"AADAC"	0.087667180629822	0.195656735081532	0.0349998415990465	0	0	0
"AADACL2"	0	0	0	0	0	0
"AADACL3"	0.0632985927582279	0.0939070479395867	0.0699199120734127	0.0229402663262915	0.0619572122326016	0.0489414213129276
"AADACL4"	0	0	0	0	0	0
"AADAT"	16.3894878207576	17.5132760529973	15.1053175825267	7.6229455982446	7.86252983282996	5.97155196898941
"AAGAB"	53.0789309214951	60.2071987826457	53.5170012623939	47.6351050510172	57.2889093551074	45.4948512179597
"AAK1"	69.5204081886535	76.5660511615479	73.1001420702101	79.8877355518927	75.5575812686989	66.1476820283065
"AAMDC"	4.35953085178897	6.52157342490608	6.08538672244527	16.6202315737182	12.8978858682521	13.5500560913984
"AAMP"	147.324790097764	139.177188883865	144.723480448404	96.3387361334864	92.4714246813652	83.151408135989
"AANAT"	2.17911452866759	1.69383196726111	1.59717932322531	0.159201728734686	0.207986275554041	0.18801197424696
"AAR2"	61.5126356416366	67.9891306273385	58.6080335346399	77.5599360431497	68.3887827504171	62.2359497364556
"AARD"	0.0595392186514847	0.057997509298023	0.0227179912382078	0.0923932748168958	0.0895362054576463	0.0667705566309867
